#label,component_name,tag,footprint,vendor
######## resistance ########,,,,
mosfet,TK6A65D,n,,
mosfet,TK6P53D,n,,
mosfet,TK6P60W,n,,
mosfet,TK6Q60W,n,,
mosfet,TK70J04J3,n,,
mosfet,TK70J20D,n,,
mosfet,TK70X04K3Z,n,,
mosfet,TK70X04K3,n,,
mosfet,TK70X06K3,n,,
mosfet,TK72A08N1,n,,
mosfet,TK72A12N1,n,,
mosfet,TK72E08N1,n,,
mosfet,TK72E12N1,n,,
mosfet,TK75A06K3,n,,
mosfet,TK7A45DA,n,,
mosfet,TK7A50D,n,,
mosfet,TK7A55D,n,,
mosfet,TK7A60W,n,,
mosfet,TK7A65D,n,,
mosfet,TK7P50D,n,,
mosfet,TK7P60W,n,,
mosfet,TK7Q60W,n,,
mosfet,TK80A04K3L,n,,
mosfet,TK80A08K3,n,,
mosfet,TK80E06K3A,n,,
mosfet,TK80F08K3,n,,
mosfet,TK80S04K3L,n,,
mosfet,TK80S06K3L,n,,
mosfet,TK80X04K3L,n,,
mosfet,TK80X04K3,n,,
mosfet,TK8A10K3,n,,
mosfet,TK8A25DA,n,,
mosfet,TK8A45DA,n,,
mosfet,TK8A45D,n,,
mosfet,TK8A50DA,n,,
mosfet,TK8A50D,n,,
mosfet,TK8A55DA,n,,
mosfet,TK8A60DA,n,,
mosfet,TK8A60W,n,,
mosfet,TK8A65D,n,,
mosfet,TK8P25DA,n,,
mosfet,TK8P60W,n,,
mosfet,TK8Q60W,n,,
mosfet,TK8S06K3L,n,,
mosfet,TK9A20DA,n,,
mosfet,TK9A45D,n,,
mosfet,TK9A55DA,n,,
mosfet,TK9A60D,n,,
mosfet,TPC6008-H,n,,
mosfet,TPC6009-H,n,,
mosfet,TPC6010-H,n,,
mosfet,TPC6011,n,,
mosfet,TPC6012,n,,
mosfet,TPC6067,n,,
mosfet,TPC8045-H,n,,
mosfet,TPC8046-H,n,,
mosfet,TPC8047-H,n,,
mosfet,TPC8048-H,n,,
mosfet,TPC8049-H,n,,
mosfet,TPC8050-H,n,,
mosfet,TPC8051-H,n,,
mosfet,TPC8052-H,n,,
mosfet,TPC8053-H,n,,
mosfet,TPC8055-H,n,,
mosfet,TPC8056-H,n,,
mosfet,TPC8057-H,n,,
mosfet,TPC8058-H,n,,
mosfet,TPC8059-H,n,,
mosfet,TPC8062-H,n,,
mosfet,TPC8063-H,n,,
mosfet,TPC8064-H,n,,
mosfet,TPC8065-H,n,,
mosfet,TPC8066-H,n,,
mosfet,TPC8067-H,n,,
mosfet,TPC8073,n,,
mosfet,TPC8074,n,,
mosfet,TPC8075,n,,
mosfet,TPC8076,n,,
mosfet,TPC8078,n,,
mosfet,TPC8080,n,,
mosfet,TPC8081,n,,
mosfet,TPC8082,n,,
mosfet,TPC8084,n,,
mosfet,TPC8085,n,,
mosfet,TPC8086,n,,
mosfet,TPC8087,n,,
mosfet,TPC8088,n,,
mosfet,TPC8092,n,,
mosfet,TPCA8006-H,n,,
mosfet,TPCA8008-H,n,,
mosfet,TPCA8010-H,n,,
mosfet,TPCA8042,n,,
mosfet,TPCA8045-H,n,,
mosfet,TPCA8046-H,n,,
mosfet,TPCA8047-H,n,,
mosfet,TPCA8048-H,n,,
mosfet,TPCA8049-H,n,,
mosfet,TPCA8050-H,n,,
