品番,ライフサイクル,製品分類,内部接続,I<sub>F</sub>/I<sub>F(AV)</sub>/I<sub>O</sub> (Max) (A),V<sub>FM</sub> (Max) (V),V<sub>R</sub> (Max) (V),V<sub>RRM</sub> (Max) (V),C<sub>T</sub>/C<sub>j</sub> (Typ.)(pF),特長,回路数,ピン数,面実装区分,パッケージ名(Toshiba),,,,
"1SS402","","小信号ショットキバリアダイオード","独立","0.05","","20","","","低リーク電流 / 高速スイッチング","2","4","Y","USQ",
"1SS404","","小信号ショットキバリアダイオード","シングル","0.3","","20","","","低VF / 大電流","","2","Y","USC",
"1SS405","","小信号ショットキバリアダイオード","シングル","0.05","","20","","","低リーク電流 / 高速スイッチング","1","2","Y","ESC",
"1SS406","","小信号ショットキバリアダイオード","シングル","0.05","","20","","","低リーク電流 / 高速スイッチング","1","2","Y","USC",
"1SS413","","小信号ショットキバリアダイオード","シングル","0.05","","20","","","低リーク電流 / 高速スイッチング","1","2","Y","fSC",
"1SS416CT","","小信号ショットキバリアダイオード","シングル","0.1","","30","","","低VF","","2","Y","CST2",
"1SS416","","小信号ショットキバリアダイオード","シングル","0.1","","30","","","低VF / 高速スイッチング","1","2","Y","fSC",
"1SS417CT","","小信号ショットキバリアダイオード","シングル","0.1","","40","","","低リーク電流 / 高速スイッチング","1","2","Y","CST2",
"1SS417","","小信号ショットキバリアダイオード","シングル","0.1","","40","","","低リーク電流 / 高速スイッチング","1","2","Y","fSC",
"1SS420CT","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低リーク電流","","2","Y","CST2",
"1SS420","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低VF / 大電流","","2","Y","ESC",
"1SS421","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低VF / 大電流","","2","Y","ESC",
"1SS422","","小信号ショットキバリアダイオード","シリーズ","0.1","","30","","","低VF","2","3","Y","SSM",
"1SS423","","小信号ショットキバリアダイオード","シリーズ","0.1","","40","","","スタンダード","2","3","Y","SSM",
"1SS424","","小信号ショットキバリアダイオード","シングル","0.2","","20","","","低VF / 大電流","","2","Y","ESC",
"CBS05F30","新製品","小信号ショットキバリアダイオード","シングル","0.5","","30","","","高速スイッチング","1","2","Y","CST2B",
"CCS15S30","新製品","小信号ショットキバリアダイオード","シングル","1.5","","20","","","大電流 / 低VF","1","2","Y","CST2C",
"CES388","","小信号ショットキバリアダイオード","シングル","0.1","","40","","","スタンダード","1","2","Y","ESC",
"CES520","新製品","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低リーク電流","1","2","Y","ESC",
"CES521","新製品","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低VF","1","2","Y","ESC",
"CTS520","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","高速スイッチング","1","2","Y","CST2",
"CTS521","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低VF","1","2","Y","CST2",
"CUS05F30","","小信号ショットキバリアダイオード","シングル","0.5","","30","","","高速スイッチング","1","2","Y","USC",
"CUS08F30","","小信号ショットキバリアダイオード","シングル","0.8","","30","","","高速スイッチング / 低VF","1","2","Y","USC",
"CUS10F30","新製品","小信号ショットキバリアダイオード","シングル","1","","30","","","大電流 / 低VF","1","2","Y","USC",
"CUS15S30","新製品","小信号ショットキバリアダイオード","シングル","1.5","","20","","","大電流 / 低VF","1","2","Y","USC",
"CUS357","","小信号ショットキバリアダイオード","シングル","0.1","","40","","","高速スイッチング","1","2","Y","USC",
"CUS520","新製品","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低リーク電流","1","2","Y","USC",
"CUS521","新製品","小信号ショットキバリアダイオード","シングル","0.2","","30","","","高速スイッチング / 低VF","1","2","Y","USC",
"CUS551V30","","小信号ショットキバリアダイオード","シングル","0.5","","30","","","高速スイッチング / 低VF","1","2","Y","USC",
"CVJ10F30","新製品","小信号ショットキバリアダイオード","シングル","1","","30","","","大電流 / 低VF","1","5","Y","UFV",
"DSF01S30SC","","小信号ショットキバリアダイオード","シングル","0.1","","30","","","低VF","","2","Y","SC2",
"DSF05S30CTB","","小信号ショットキバリアダイオード","シングル","0.5","","30","","","高速スイッチング","1","2","Y","CST2B",
"DSF05S30U","","小信号ショットキバリアダイオード","シングル","0.5","","30","","","高速スイッチング","1","2","Y","USC",
"DSF521","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低VF","","2","Y","ESC",
"DSR01S30SC","","小信号ショットキバリアダイオード","シングル","0.1","","30","","","低リーク電流","","2","Y","SC2",
"DSR520CT","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低リーク電流","","2","Y","CST2",
"DSR520","","小信号ショットキバリアダイオード","シングル","0.2","","30","","","低リーク電流","","2","Y","ESC",
"HN2S01FU","","小信号ショットキバリアダイオード","独立","0.1","","10","","","低VF","3","6","Y","US6",
"HN2S01F","","小信号ショットキバリアダイオード","独立","0.1","","10","","","低VF","3","6","Y","SM6",
"HN2S02FU","","小信号ショットキバリアダイオード","独立","0.1","","40","","","スタンダード","3","6","Y","US6",
"HN2S02JE","","小信号ショットキバリアダイオード","独立","0.1","","40","","","スタンダード","2","5","Y","ESV",
"HN2S03FE","","小信号ショットキバリアダイオード","独立","0.05","","20","","","低リーク電流 / 高速スイッチング","3","6","Y","ES6",
"HN2S03FU","","小信号ショットキバリアダイオード","独立","0.05","","20","","","低リーク電流 / 高速スイッチング","3","6","Y","US6",
"HN2S03T","","小信号ショットキバリアダイオード","独立","0.05","","20","","","低リーク電流 / 高速スイッチング","2","4","Y","TESQ",
"HN2S04FU","","小信号ショットキバリアダイオード","シングル","0.2","","20","","","低VF / 大電流","","6","Y","US6",
"HN2S05FU","","小信号ショットキバリアダイオード","独立","0.1","","10","","","低VF","3","6","Y","US6",
"1SS154","","高周波用ショットキバリアダイオード","","0.03","","6","","0.8","","","3","Y","S-Mini",
"1SS271","","高周波用ショットキバリアダイオード","","0.03","","6","","0.8","","","3","Y","S-Mini",
"1SS295","","高周波用ショットキバリアダイオード","","0.03","","4","","0.6","","","3","Y","S-Mini",
"1SS315","","高周波用ショットキバリアダイオード","","0.03","","","","0.6","","","2","Y","USC",
"JDH2S01FS","","高周波用ショットキバリアダイオード","","0.03","","","","0.6","","","2","Y","fSC",
"JDH2S02FS","","高周波用ショットキバリアダイオード","","0.01","","10","","0.3","","","2","Y","fSC",
"JDH2S02SC","","高周波用ショットキバリアダイオード","","0.01","","10","","0.25","","","2","Y","SC2",
"JDH3D01FV","","高周波用ショットキバリアダイオード","","0.025","","4","","0.6","","","3","Y","VESM",
"JDH3D01S","","高周波用ショットキバリアダイオード","","0.025","","4","","0.6","低VF","","3","Y","SSM",

