品番,ライフサイクル,グループ,機能1,機能2,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"TC74LCX163245FT","","TC74LCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74LCX16373FT","","TC74LCX","Latch","D-Type Latch","2","3.6","24","","48","Y","TSSOP48",
"TC74LCX16374FT","","TC74LCX","Flip-Flop","D-Type Flip-Flop","2","3.6","24","","48","Y","TSSOP48",
"TC74LCX164245FT","","TC74LCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74LCX16646AFT","","TC74LCX","Gate","Bus Transceiver","2","3.6","24","","56","Y","TSSOP56",
"TC74LCX16652AFT","","TC74LCX","Gate","Bus Transceiver","2","3.6","24","","56","Y","TSSOP56",
"TC74LCX240FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","US20",
"TC74LCX240FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX240F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX244FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","US20",
"TC74LCX244FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX244F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX245FK","","TC74LCX","Gate","Bus Transceiver","1.65","3.6","24","","20","Y","US20",
"TC74LCX245FT","","TC74LCX","Gate","Bus Transceiver","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX245F","","TC74LCX","Gate","Bus Transceiver","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX257FK","","TC74LCX","Multiplexer","2-Channel Multiplexer","2","3.6","24","","16","Y","US16",
"TC74LCX257FT","","TC74LCX","Multiplexer","2-Channel Multiplexer","2","3.6","24","","16","Y","TSSOP16",
"TC74LCX257F","","TC74LCX","Multiplexer","2-Channel Multiplexer","2","3.6","24","","16","Y","SOP16",
"TC74LCX273FK","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","US20",
"TC74LCX273FT","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX273F","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX32FK","","TC74LCX","Gate","OR","1.65","3.6","24","","14","Y","US14",
"TC74LCX32FT","","TC74LCX","Gate","OR","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX32F","","TC74LCX","Gate","OR","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX373FK","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","US20",
"TC74LCX373FT","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX373F","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX374FK","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","US20",
"TC74LCX374FT","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX374F","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX540FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","US20",
"TC74LCX540FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX540F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX541FK","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","US20",
"TC74LCX541FT","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX541F","","TC74LCX","Gate","Bus Buffer","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX573FK","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","US20",
"TC74LCX573FT","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX573F","","TC74LCX","Latch","D-Type Latch","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX574FK","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","US20",
"TC74LCX574FT","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","TSSOP20",
"TC74LCX574F","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","20","Y","SOP20",
"TC74LCX646FS","","TC74LCX","Gate","Bus Transceiver","2","3.6","24","","24","Y","SSOP24",
"TC74LCX652FS","","TC74LCX","Gate","Bus Transceiver","2","3.6","24","","24","Y","SSOP24",
"TC74LCX74FK","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","14","Y","US14",
