品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
2SC3666	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3668	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3669	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3670	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3671	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3672	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3673	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC3709A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC3710A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC3803	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC3963	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC3964	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC4157	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)
2SC4209	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SC4210	生産終了予定	低周波増幅用トランジスタ	S-Mini
2SC4250FV	生産終了予定	高周波バイポーラトランジスタ	VESM
2SC4250	生産終了予定	高周波バイポーラトランジスタ	USM
2SC4408	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC4409	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC4540	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC4541	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC4544	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC4604	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC4666	生産終了予定	低周波増幅用トランジスタ	USM
2SC4667	生産終了予定	低周波増幅用トランジスタ	USM
2SC4682	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC4683	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC4684	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC4685	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC4686A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC4686	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC4688	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)IS
2SC4689	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)IS
2SC4690	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)IS
2SC4707	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC4738FT	生産終了予定	低周波増幅用トランジスタ	TESM
2SC4738F	生産終了予定	低周波増幅用トランジスタ	ESM
2SC4754	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220FL
2SC4781	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC4793	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC4881	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC4935	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5000	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5027	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5028	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5029	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5075	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5076	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5092	生産終了予定	高周波バイポーラトランジスタ	SMQ
2SC5122	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC5129	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(H)IS
2SC5144	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5154	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5171	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5172	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5173	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC5174	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC5176	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC5196	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)
2SC5197	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)
2SC5201	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC5208	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5266A	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC5279	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC5307	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mini
2SC5317FT	生産終了予定	高周波バイポーラトランジスタ	TESM
2SC5319	生産終了予定	高周波バイポーラトランジスタ	USQ
2SC5331	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5351	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
