品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
GT35MR21	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)IS
GT40J121	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)IS
GT40J321	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)
GT40J322	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)
GT40J325	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(N)IS
GT50J301	生産終了予定	ディスクリートIGBT	TO-3P(LH)
GT50J322	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(LH)
GT50J325	新規設計非推奨	ディスクリートIGBT	TO-3P(LH)
GT50J328	新規設計非推奨	ディスクリートIGBT	TO-3P(N)
GT50J341	新規設計非推奨	ディスクリートIGBT	TO-3P(N)
GT5G133	新規設計非推奨	ストロボフラッシュ用IGBT	TSON-8
GT5J301	生産終了予定	ディスクリートIGBT	TO-220NIS
GT60J323H	新規設計非推奨	ディスクリートIGBT	TO-3P(LH)
GT60J323	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(LH)
GT60M303	新規設計非推奨	ソフトスイッチング用IGBT	TO-3P(LH)
GT8G151	新規設計非推奨	ストロボフラッシュ用IGBT	TSON-8
HN1A26FS	新規設計非推奨	低周波増幅用トランジスタ 2 in 1	fS6
HN1B26FS	新規設計非推奨	低周波増幅用トランジスタ 2 in 1	fS6
HN1C26FS	新規設計非推奨	低周波増幅用トランジスタ 2 in 1	fS6
HN1J02FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN1K04FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN1K05FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN1K06FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN1L02FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN1L03FU	生産終了予定	小信号MOSFET 2 in 1	US6
HN2A26FS	新規設計非推奨	低周波増幅用トランジスタ 2 in 1	fS6
HN2C26FS	新規設計非推奨	低周波増幅用トランジスタ 2 in 1	fS6
HN2E01F	生産終了予定	異種混載複合デバイス (小信号ダイオード + NPN)	SM6
HN2E02F	生産終了予定	異種混載複合デバイス (小信号ダイオード + NPN)	SM6
HN2E05J	生産終了予定	異種混載複合デバイス (BRT(PNP) + 小信号ダイオード)	SMV
HN3C01F	生産終了予定	複合高周波バイポーラトランジスタ	SM6
HN3C61FU	生産終了予定	低周波増幅用トランジスタ 2 in 1	US6
HN3G01J	生産終了予定	複合高周波バイポーラトランジスタ	SMV
HN4C08J	生産終了予定	低周波増幅用トランジスタ 2 in 1	SMV
HN4G01J	生産終了予定	異種混載複合デバイス (NPN + NPN (BRT))	SMV
HN7G01FE	生産終了予定	異種混載複合デバイス (PNP + N-ch)	ES6
HN7G01FU	生産終了予定	異種混載複合デバイス (PNP + N-ch)	US6
HN7G02FE	生産終了予定	異種混載複合デバイス (PNP (BRT) + N-ch)	ES6
HN7G02FU	生産終了予定	異種混載複合デバイス (PNP (BRT) + N-ch)	US6
HN7G03FU	生産終了予定	異種混載複合デバイス (PNP + N-ch)	US6
HN7G04FU	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	US6
HN7G05FU	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	US6
HN7G06FE	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	ES6
HN7G06FU	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	US6
HN7G08FE	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	ES6
HN7G09FE	生産終了予定	異種混載複合デバイス (NPN (BRT) + N-ch)	ES6
HN7G10FE	生産終了予定	異種混載複合デバイス (PNP + N-ch)	ES6
HN7G11F	生産終了予定	異種混載複合デバイス (PNP + NPN (BRT))	SM6
MP4005	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4006	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4009	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4013	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4015	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4020	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4021	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4101	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4104	生産終了予定	パワートランジスタモジュール(フルモールドタイプS-10)	SIP10pin(S-10)
MP4208	生産終了予定	パワーMOSFETモジュール	SIP10pin(S-10)
MP4209	生産終了予定	パワーMOSFETモジュール	SIP10pin(S-10)
MP4210	生産終了予定	パワーMOSFETモジュール	SIP10pin(S-10)
MP4212	生産終了予定	パワーMOSFETモジュール	SIP10pin(S-10)
MP4301	生産終了予定	ダーリントンパワートランジスタ4個入り	SIP12pin(S-12)
MP4303	生産終了予定	ダーリントンパワートランジスタ4個入り	SIP12pin(S-12)
MP4305	生産終了予定	ダーリントンパワートランジスタ4個入り	SIP12pin(S-12)
MP4410	生産終了予定	パワーMOSFETモジュール	SIP12pin(S-12)
MP4411	生産終了予定	パワーMOSFETモジュール	SIP12pin(S-12)
MP4412	生産終了予定	パワーMOSFETモジュール	SIP12pin(S-12)
MP4501	生産終了予定	ダーリントンパワートランジスタ4個入り(絶縁放熱板付タイプF-12)	SIP12pin(F-12)
MP4504	生産終了予定	ダーリントンパワートランジスタ4個入り(絶縁放熱板付タイプF-12)	SIP12pin(F-12)
MP4507	生産終了予定	ダーリントンパワートランジスタ4個入り(絶縁放熱板付タイプF-12)	SIP12pin(F-12)
MP4508	生産終了予定	ダーリントンパワートランジスタ4個入り(絶縁放熱板付タイプF-12)	SIP12pin(F-12)
MP6301	生産終了予定	ダーリントンパワートランジスタ6個入り	SIP12pin(S-12)
MP6404	生産終了予定	パワーMOSFETモジュール	SIP12pin(S-12)
MT3S04AU	生産終了予定	高周波バイポーラトランジスタ	USM
MT3S07FS	生産終了予定	高周波バイポーラトランジスタ	fSM
MT3S07T	生産終了予定	高周波バイポーラトランジスタ	TESM
MT3S07U	生産終了予定	高周波バイポーラトランジスタ	USM
MT3S11FS	生産終了予定	高周波バイポーラトランジスタ	fSM
MT3S150P	生産終了予定	ガリウム・砒素へテロジャンクションバイポーラトランジスタ	PW-Mini
MT3S35FS	生産終了予定	高周波バイポーラトランジスタ	fSM
MT3S37FS	生産終了予定	高周波バイポーラトランジスタ	fSM
MT3S41FS	生産終了予定	高周波バイポーラトランジスタ	fSM
MT4S03AU	生産終了予定	高周波バイポーラトランジスタ	USQ
MT4S03A	生産終了予定	高周波バイポーラトランジスタ	SMQ
MT4S102T	新規設計非推奨	高周波用シリコン・ゲルマニュウムヘテロジャンクションバイポーラトランジスタ	TESQ
MT4S102U	新規設計非推奨	高周波用シリコン・ゲルマニュウムヘテロジャンクションバイポーラトランジスタ	USQ
MT4S200T	生産終了予定	高周波用シリコン・ゲルマニュウムヘテロジャンクションバイポーラトランジスタ	TESQ
MT4S200U	生産終了予定	高周波用シリコン・ゲルマニュウムヘテロジャンクションバイポーラトランジスタ	USQ
MT6C04AE	生産終了予定	複合高周波バイポーラトランジスタ	ES6
MT6L55FS	生産終了予定	複合高周波バイポーラトランジスタ	fS6
MT6L57AE	生産終了予定	複合高周波バイポーラトランジスタ	ES6
MT6L58AFS	生産終了予定	複合高周波バイポーラトランジスタ	fS6
MT6L62AE	生産終了予定	複合高周波バイポーラトランジスタ	ES6
MT6L71FS	新規設計非推奨	複合高周波バイポーラトランジスタ	fS6
MT6L76FS	新規設計非推奨	複合高周波バイポーラトランジスタ	fS6
RN1001	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1002	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1003	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1004	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1005	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1006	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1007	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1008	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1009	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1010	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1011	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN1101FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1101FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1101F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1102FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1102FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1102F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1103FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1103F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1104FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1104FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1104F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1105FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1105FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1105F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1106FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1106FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1106F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1107FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1107FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1107F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1108FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1108F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1109FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1109FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1109F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1110FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1110FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1110F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1111FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1112FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1112FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN1112F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1113FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN1113F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1116F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1130F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN1201	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1202	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1203	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1204	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1205	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1206	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1207	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1208	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1209	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1210	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1211	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN1321A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1322A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1323A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1324A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1325A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1326A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN1327A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN16J1	生産終了予定	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	SM6
RN1901AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1901FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1902AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1902FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1903AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1903FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1904AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1904FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1905AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1905FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1906AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1906FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1907AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1907FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1908AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1908FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1909AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1909FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1910AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1910FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1911AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1911FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1912AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1912FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1913AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1913FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1961FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1962FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1963FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1964FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1965FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1966FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1967FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1968FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1969FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1970FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1971FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1972FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN1973FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2001	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2002	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2003	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2004	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2005	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2006	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2007	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2008	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2009	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2010	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2011	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TO-92
RN2101FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2101FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2101F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2102FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2102FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2102F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2103FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2103F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2104FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2104FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2104F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2105FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2105FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2105F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2106FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2106F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2107FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2107FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2107F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2108FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2109FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2109FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2110FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2110FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2111FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2111FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2112FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2113FS	生産終了予定	抵抗内蔵型トランジスタ(BRT)	fSM
RN2113FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2114FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2118FT	生産終了予定	抵抗内蔵型トランジスタ(BRT)	TESM
RN2130F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2131F	生産終了予定	抵抗内蔵型トランジスタ(BRT)	ESM
RN2201	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2202	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2203	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2204	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2205	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2206	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2207	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2208	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2209	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2210	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2211	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2226	生産終了予定	抵抗内蔵型トランジスタ(BRT)	Mini
RN2321A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2322A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2323A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2324A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2325A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2326A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2327A	生産終了予定	抵抗内蔵型トランジスタ(BRT)	USM
RN2901AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2901FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2902AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2902FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2903AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2903FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2904AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2904FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2905AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2905FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2906AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2906FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2907AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2907FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2908AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2908FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2909AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2909FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2910AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2910FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2911AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2911FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2912AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2912FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2913AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2913FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2961FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2962FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2963FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2964FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2965FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2966FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2967FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2968FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2969FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN296PFS	生産終了予定	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2970FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2971FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2972FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN2972HFE	生産終了予定	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	ES6
RN2973FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN47A7JE	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	ESV
RN4981AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4981FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4985AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4985FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4986AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4987AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4987FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4988AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4988FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4989AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4989FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4990FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4991AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4991FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4992AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4992FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4992HFE	生産終了予定	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	ES6
RN4993AFS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN4993FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN49A5	生産終了予定	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	US6
RN49J2FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN49J7FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
RN49P1FS	新規設計非推奨	複合抵抗内蔵型トランジスタ(BRT) 2 in 1	fS6
