品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"TPCA8065-H","","N-ch","30","","16","25","1350","20","","","","","","0.0145","","0.0114","8","Y","SOP Advance",
"TPCA8068-H","","N-ch","30","","15","21","980","14","","","","","","0.016","","0.0116","8","Y","SOP Advance",
"TPCA8075","","N-ch","33","","48","63","5200","70","","","","","","0.0031","","0.0024","8","Y","SOP Advance",
"TPCA8078","","N-ch","33","","54","70","6400","90","","","","","","0.0026","","0.0021","8","Y","SOP Advance",
"TPCA8080","","N-ch","30","","42","57","4300","61","","","","","","0.0032","","0.0026","8","Y","SOP Advance",
"TPCA8081","","N-ch","30","","38","52","3600","51","","","","","","0.0038","","0.003","8","Y","SOP Advance",
"TPCA8082","","N-ch","30","","32","45","2900","41","","","","","","0.0048","","0.0038","8","Y","SOP Advance",
"TPCA8083","","N-ch","40","","60","84","4540","83","","","","","","","0.0056","0.0033","8","Y","SOP Advance",
"TPCA8084","","N-ch","60","","60","84","4480","83","","","","","","","0.008","0.0053","8","Y","SOP Advance",
"TPCA8085","","N-ch","40","","40","55","2050","41","","","","","","","0.0104","0.0057","8","Y","SOP Advance",
"TPCA8086","","N-ch","60","","35","55","1990","41","","","","","","","0.0166","0.0112","8","Y","SOP Advance",
"TPCA8087","","N-ch","30","","56","70","6400","91","","","","","","0.0023","","0.0019","8","Y","SOP Advance",
"TPCA8088","","N-ch","30","","48","63","5200","74","","","","","","0.0027","","0.0022","8","Y","SOP Advance",
"TPCA8109","","P-ch","-30","","-24","30","2400","56","","","","","","0.013","","0.009","8","Y","SOP Advance",
"TPCA8120","","P-ch","-30","","-45","45","7420","190","","","","","","0.004","","0.003","8","Y","SOP Advance",
"TPCA8121","","P-ch","-30","","-45","2.8","1650","190","","","","","","0.004","","0.003","8","Y","SOP Advance",
"TPCA8128","","P-ch","-30","","-34","1.9","4800","115","","","","","","0.0067","","0.0048","8","Y","SOP Advance",
"TPCA8131","","P-ch","-30","","-13","27","1700","40","","","","","","0.022","","0.017","8","Y","SOP Advance",
"TPCA8A09-H","","N-ch + SBD","30","","51","70","5900","82","","","","","","0.0028","","0.0023","8","Y","SOP Advance",
"TPCA8A10-H","","N-ch + SBD","30","","40","58","4000","57","","","","","","0.0038","","0.003","8","Y","SOP Advance",
"TPCA8A11-H","","N-ch + SBD","30","","35","52","3200","46","","","","","","0.0046","","0.0036","8","Y","SOP Advance",
"TPCC8005-H","","N-ch","30","","26","30","","35","","","","","","0.0073","","0.0060","8","Y","TSON Advance",
"TPCC8006-H","","N-ch","30","","22","27","","27","","","","","","0.0086","","0.0069","8","Y","TSON Advance",
"TPCC8007","","N-ch","20","","27","30","1870","26","","","","0.0087","","0.0046","","","8","Y","TSON Advance",
"TPCC8008","","N-ch","30","","25","30","","30","","","","","","0.013","","0.0068","8","Y","TSON Advance",
"TPCC8062-H","","N-ch","30","","27","39","2400","34","","","","","","0.0071","","0.0056","8","Y","TSON Advance",
"TPCC8064-H","","N-ch","30","","19","30","1600","23","","","","","","0.0106","","0.0082","8","Y","TSON Advance",
"TPCC8065-H","","N-ch","30","","13","18","1350","20","","","","","","0.0145","","0.0114","8","Y","TSON Advance",
"TPCC8066-H","","N-ch","30","","11","17","1100","15","","","","","","0.019","","0.015","8","Y","TSON Advance",
"TPCC8067-H","","N-ch","30","","9","15","690","9.5","","","","","","0.033","","0.025","8","Y","TSON Advance",
"TPCC8068-H","","N-ch","30","","13","17","980","14","","","","","","0.016","","0.0116","8","Y","TSON Advance",
"TPCC8069","","N-ch","40","","30","46.8","1640","34","","","","","","","0.0141","0.0081","8","Y","TSON Advance",
"TPCC8070","","N-ch","60","","30","46.8","1600","34","","","","","","","0.0213","0.0135","8","Y","TSON Advance",
"TPCC8073","","N-ch","30","","27","39","2600","37","","","","","","0.0059","","0.0045","8","Y","TSON Advance",
"TPCC8074","","N-ch","30","","20","30","1800","25","","","","","","0.0085","","0.0063","8","Y","TSON Advance",
"TPCC8076","","N-ch","33","","27","39","2500","34","","","","","","0.0062","","0.0046","8","Y","TSON Advance",
"TPCC8084","","N-ch","33","","21","32","1900","27","","","","","","0.009","","0.0067","8","Y","TSON Advance",
"TPCC8093","","N-ch","20","","21","30","1860","16","","","","0.0095","","0.0058","","","8","Y","TSON Advance",
"TPCC8103","","P-ch","-30","","-18","27","1600","38","","","","","0.025","","","0.012","8","Y","TSON Advance",
"TPCC8104","","P-ch","-30","","-20","27","2260","58","","","","","","0.0124","","0.0088","8","Y","TSON Advance",
"TPCC8105","","P-ch","-30","","-23","30","3240","76","","","","","","0.0104","","0.0078","8","Y","TSON Advance",
"TPCC8106","","P-ch","-40","","-30","46.8","3100","66","","","","","","","0.0189","0.0123","8","Y","TSON Advance",
"TPCC8107","","P-ch","-60","","-25","46.8","2930","63","","","","","","","0.0429","0.0305","8","Y","TSON Advance",
"TPCC8131","","P-ch","-30","","-10","20","1700","40","","","","","","0.023","","0.0176","8","Y","TSON Advance",
"TPCC8136","","P-ch","-20","","-9.4","18","2350","36","","","0.060","0.022","","0.016","","","8","Y","TSON Advance",
"TPCC8137","","P-ch","-20","","-13","30","","43","","","0.052","0.016","","0.010","","","8","Y","TSON Advance",
"TPCC8138","","P-ch","-20","","-18","39","4165","63","","","0.042","0.011","","0.0075","","","8","Y","TSON Advance",
"TPCC8A01-H","","N-ch + SBD","30","","21","30","","20","","","","","","0.0126","","0.0099","8","Y","TSON Advance",
"TPCF8002","","N-ch","30","","7","2.5","","11.5","","","","","","0.032","","0.021","8","Y","VS-8",
"TPCF8003","","N-ch","20","","7","2.5","500","9.5","","","","0.034","","0.018","","","8","Y","VS-8",
"TPCF8004","","N-ch","30","","7","2.5","610","9","","","","","","0.030","","0.024","8","Y","VS-8",
"TPCF8101","","P-ch","-12","","-6","2.5","","18","","","0.085","0.04","","0.028","","","8","Y","VS-8",
"TPCF8105","","P-ch","-20","","-6","2.5","1100","17","","","0.1","0.041","","0.03","","","8","Y","VS-8",
"TPCF8107","","P-ch","-30","","-6","2.5","970","22","","","","","","0.038","","0.028","8","Y","VS-8",
"TPCF8108","","P-ch","-20","","-7","2.5","1320","19","","","0.095","0.037","","0.026","","","8","Y","VS-8",
"TPCF8201","","N-ch x 2","20","","3","1.35","","7.5","","","","0.066","","0.049","","","","Y","VS-8",
"TPCF8304","","P-ch x 2","-30","","-3.2","1.35","600","14","","","","","","0.105","","0.072","8","Y","VS-8",
"TPCF8305","","P-ch","-20","","-4","1.35","680","9.2","","","0.265","0.083","","0.058","","","8","Y","VS-8",
"TPCF8306","","P-ch","-30","","-3.2","1.35","390","10","","","","","","0.120","","0.072","8","Y","VS-8",
"TPCF8402","","N-ch + P-ch","-30","","-3.2","1.35","600","14","","","","","","0.105","","0.072","8","Y","VS-8",
"TPCF8B01","","P-ch + SBD","-20","","-2.7","1.35","","6","","","0.3","0.16","","0.11","","","8","Y","VS-8",
"TPCL4201","","N-ch x 2","","","","1.65","720","","","","","","","","","","4","","Chip LGA",
"TPCL4202","","N-ch x 2","","","","1.65","780","","","","","","","","","","4","Y","Chip LGA",
"TPCL4203","","N-ch x 2","","","","1.65","685","","","","","","","","","","4","Y","Chip LGA",
"TPCP8003-H","","N-ch","100","","2.2","1.68","","7.5","","","","","","0.19","","0.18","8","Y","PS-8",
"TPCP8004","","N-ch","30","","8.3","1.68","1270","","","","","","","0.014","","0.0085","8","Y","PS-8",
"TPCP8005-H","","N-ch","30","","11","1.68","","20","","","","","","0.0157","","0.0129","8","Y","PS-8",
"TPCP8006","","N-ch","20","","9.1","1.68","1480","","","","","0.0137","","0.010","","","8","Y","PS-8",
"TPCP8007-H","","N-ch","60","","5","1.68","640","11","","","","","","0.064","","0.057","8","Y","PS-8",
"TPCP8009","","N-ch","40","","10","2.01","1250","25.1","","","","","","","0.0195","0.0119","8","Y","PS-8",
"TPCP8010","","N-ch","40","","6","2.01","600","13.1","","","","","","","0.0312","0.0248","8","Y","PS-8",
"TPCP8011","","N-ch","40","","5","1.96","505","11.8","","","","","","","0.0416","0.0332","8","Y","PS-8",
"TPCP8012","","N-ch","60","","8","2.01","1160","26.6","","","","","","","0.0237","0.0195","8","Y","PS-8",
"TPCP8013","","N-ch","60","","4","1.96","515","12","","","","","","","0.0633","0.054","8","Y","PS-8",
"TPCP8102","","P-ch","-20","","-7.3","1.68","","33","","","","0.03","","0.018","","","8","Y","PS-8",
"TPCP8103-H","","P-ch","-40","","-4.8","1.68","","19","","","","","","0.054","","0.040","8","Y","PS-8",
"TPCP8105","","P-ch","-20","","-7.2","1.68","2280","28","","","0.060","0.023","","0.017","","","8","Y","PS-8",
"TPCP8106","","P-ch","-30","","-5.2","1.68","870","19","","","","","","0.044","","0.033","8","Y","PS-8",
"TPCP8107","","P-ch","-40","","-8","2.01","2160","44.6","","","","","","","0.0269","0.0181","8","Y","PS-8",
"TPCP8109","新製品","P-ch","-40","","-4.5","1.96","810","18","","","","","","","0.0768","0.0523","8","Y","PS-8",
"TPCP8110","新製品","P-ch","-60","","-5","2.01","2075","45","","","","","","","0.0532","0.0395","8","Y","PS-8",
"TPCP8111","新製品","P-ch","-60","","-3","1.96","760","17","","","","","","","0.1584","0.117","8","Y","PS-8",
"TPCP8203","","N-ch x 2","40","","4.7","1.48","","16","","","","","","0.06","","0.04","8","Y","PS-8",
"TPCP8204","","N-ch","30","","4.2","1.48","190","4.6","","","","","","0.077","","0.050","8","Y","PS-8",
"TPCP8205-H","","N-ch x 2","30","","6.5","1.48","","13.8","","","","","","0.029","","0.026","8","Y","PS-8",
"TPCP8206","","N-ch x 2","20","","6","1.48","630","5.8","","","","0.035","","0.024","","","8","Y","PS-8",
"TPCP8207","","N-ch x 2","40","","5","1.77","505","11.8","","","","","","","","0.0378","8","Y","PS-8",
"TPCP8303","","P-ch x 2","-20","","-3.8","1.48","640","10","","0.144","0.090","0.060","","0.046","","","8","Y","PS-8",
"TPCP8305","","P-ch","-20","","-6","1.48","1500","21.5","","","","0.042","","0.030","","","8","Y","PS-8",
"TPCP8306","","P-ch","-20","","-4","1.48","680","9.2","","","0.265","0.083","","0.058","","","8","Y","PS-8",
"TPCP8401","","N-ch + P-ch","-12","","-5.5","1.96","","20","","","","0.058","","0.038","","","8","Y","PS-8",
"TPCP8403","","N-ch + P-ch","-40","","-3.4","1.48","","15","","","","","","0.105","","0.07","8","Y","PS-8",
"TPCP8404","","N-ch + P-ch","-30","","-4","1.48","510","13","","","","","","0.08","","0.05","8","Y","PS-8",
"TPCP8405","","N-ch + P-ch","-30","","-6","1.48","1075","24.1","","","","","","0.042","","0.0313","8","Y","PS-8",
"TPCP8406","","N-ch + P-ch","-40","","-5","1.48","1105","24.2","","","","","","0.036","","0.032","8","Y","PS-8",
"TPCP8407","新製品","N-ch + P-ch","-40","","-4","1.96","810","18","","","","","","","","0.0568","8","Y","PS-8",
"TPCP8J01","","P-ch + NPN","-32","","-5.5","2.14","1760","34","","","","","0.049","","","0.035","8","Y","PS-8",
"TPH11003NL","開発中","N-ch","30","","32","21","510","7.5","","","","","","0.016","","0.011","8","Y","SOP Advance",
"TPH12008NH","","N-ch","80","","44","48","1490","22","","","","","","","","0.0123","8","Y","SOP Advance",
"TPH14006NH","","N-ch","60","","34","32","1000","16","","","","","","","","0.014","8","Y","SOP Advance",
"TPH1400ANH","","N-ch","100","","42","48","1440","22","","","","","","","","0.0136","8","Y","SOP Advance",
"TPH2R306NH","","N-ch","60","","130","78","4700","72","","","","","","","","0.0023","8","Y","SOP Advance",
"TPH4R008NH","","N-ch","80","","100","78","","59","","","","","","","","0.004","8","Y","SOP Advance",
"TPH4R50ANH","","N-ch","100","","93","78","","58","","","","","","","","0.0045","8","Y","SOP Advance",
"TPH4R606NH","","N-ch","60","","85","63","3050","49","","","","","","","","0.0046","8","Y","SOP Advance",
"TPH5R906NH","","N-ch","60","","71","57","2340","38","","","","","","","","0.0059","8","Y","SOP Advance",
"TPH6R003NL","開発中","N-ch","30","","57","34","1050","17","","","","","","0.0083","","0.006","8","Y","SOP Advance",
"TPH7R506NH","","N-ch","60","","55","45","1785","31","","","","","","","","0.0075","8","Y","SOP Advance",
"TPH8R008NH","","N-ch","80","","63","61","2300","35","","","","","","","","0.008","8","Y","SOP Advance",
"TPH8R80ANH","","N-ch","100","","59","61","2180","33","","","","","","","","0.0088","8","Y","SOP Advance",
"TPH8R903NL","開発中","N-ch","30","","38","24","630","9.8","","","","","","0.0127","","0.0089","8","Y","SOP Advance",
"TPHR9003NL","開発中","N-ch","30","","220","78","5300","74","","","","","","0.0014","","0.0009","8","Y","SOP Advance",
"TPN11003NL","開発中","N-ch","30","","31","19","510","7.5","","","","","","0.016","","0.011","8","Y","TSON Advance",
"TPN13008NH","新製品","N-ch","80","","40","42","1230","18","","","","","","","","0.0133","8","Y","TSON Advance",
"TPN14006NH","","N-ch","60","","33","30","1000","15","","","","","","","","0.014","8","Y","TSON Advance",
"TPN1600ANH","新製品","N-ch","100","","36","42","1230","19","","","","","","","","0.016","8","Y","TSON Advance",
"TPN2R203NC","新製品","N-ch","30","","100","42","2230","34","","","","","","0.0036","","0.0022","8","Y","TSON Advance",
"TPN2R503NC","","N-ch","30","","85","35","2230","40","","","","","","0.0041","","0.0025","8","Y","TSON Advance",
"TPN4R203NC","","N-ch","30","","53","22","1370","24","","","","","","0.0064","","0.0042","8","Y","TSON Advance",
"TPN6R003NL","開発中","N-ch","30","","56","32","1050","17","","","","","","0.0083","","0.006","8","Y","TSON Advance",
"TPN7R506NH","新製品","N-ch","60","","53","42","1410","22","","","","","","","","0.0075","8","Y","TSON Advance",
"TPN8R903NL","開発中","N-ch","30","","37","22","630","9.8","","","","","","0.0127","","0.0089","8","Y","TSON Advance",

